,x_values,ssr,r^2,r^2adj,AIC,BIC
41,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",0.00981869216626944,0.9904893533032307,0.9888353277907491,-129.1985329340179,-124.01518547000057
42,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",0.011692184152040036,0.9886746390761054,0.9867050110893412,-124.48345099218793,-119.30010352817061
43,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",0.007874269824405382,0.9923727725620911,0.9910462982250635,-135.15709470961642,-129.9737472455991
44,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",0.01492706051744269,0.9855412516862079,0.9830266867620701,-117.88856300910214,-112.70521554508483
45,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",0.008178802673150725,0.9920777939353115,0.9907000189675396,-134.1325714010884,-128.94922393707108
46,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",0.007870591346396857,0.9923763356338453,0.9910504809614705,-135.16971075074372,-129.9863632867264
47,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.05027220868948557,0.9513049999515758,0.9428363042909803,-85.1030919632453,-79.91974449922799
48,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.03658325012896671,0.9645644897401507,0.9584017923036552,-93.68536392113262,-88.5020164571153
49,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.037910128018169204,0.9632792404828909,0.9568930214364372,-92.72341284825183,-87.54006538423451
50,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.036645927778442236,0.9645037784998092,0.9583305225867325,-93.63914472278987,-88.45579725877255
51,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.08185397874478274,0.9207140564768033,0.9069251967336386,-71.94101047504697,-66.75766301102965
52,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.03102176488719064,0.9699514924435796,0.964725665042463,-98.13770273733965,-92.95435527332234
53,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.02910144574940711,0.971811564697117,0.9669092281227026,-99.86303503513662,-94.6796875711193
54,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.029123946735057794,0.9717897696432312,0.9668836426246626,-99.8421669356052,-94.65881947158789
55,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.04693728830733157,0.9545352926401969,0.946628387012405,-86.95637179731284,-81.77302433329552
56,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.00965911264640815,0.9906439262756531,0.9885175458837561,-127.64095891428943,-121.16177458426779
57,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.007791178452688698,0.9924532570773977,0.9907380882313518,-133.44351971782564,-126.964335387804
58,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.007668983314233722,0.9925716185424716,0.9908833500293969,-133.87033768954976,-127.39115335952812
59,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.007864195750716783,0.9923825305781311,0.9906512875277064,-133.1916597090367,-126.71247537901507
60,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.03580819604373717,0.9653152277662219,0.9574323249858178,-92.26353333330749,-85.78434900328585
61,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.02676776252099381,0.9740720324164189,0.9681793125110596,-100.1199537652964,-93.64076943527476
62,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.0075832603006499855,0.9926546521361693,0.990555981317932,-132.17384001961042,-124.39881882358445
