,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
0,"Index(['const'], dtype='object')",1,63.88408441,-2.22045E-16,-2.22045E-16,101.8759824,103.1718193
1,"Index(['MgO'], dtype='object')",1,18.01768314,0.91480541,0.911528695,67.70163456,68.99747143
2,"Index(['Al2O3'], dtype='object')",1,87.90531887,0.584349576,0.568363022,110.4941139,111.7899507
3,"Index(['SiO2'], dtype='object')",1,110.8418283,0.475896869,0.455739056,116.7538992,118.0497361
4,"Index(['P2O5'], dtype='object')",1,137.1521275,0.351491575,0.326548944,122.5045351,123.800372
5,"Index(['Concentration(mM)'], dtype='object')",1,94.68054135,0.552313698,0.535094994,112.498815,113.7946518
6,"Index(['L/S'], dtype='object')",1,68.02115902,0.678369592,0.665999192,103.5701935,104.8660304
7,"Index(['const', 'MgO'], dtype='object')",2,18.01227898,0.718047474,0.706769373,69.69353506,72.28520879
8,"Index(['const', 'Al2O3'], dtype='object')",2,63.29284093,0.009254942,-0.030374861,103.6249355,106.2166092
9,"Index(['const', 'SiO2'], dtype='object')",2,58.86735941,0.078528558,0.0416697,101.6678281,104.2595019
10,"Index(['const', 'P2O5'], dtype='object')",2,47.15773187,0.261823468,0.232296407,95.67953087,98.2712046
11,"Index(['const', 'Concentration(mM)'], dtype='object')",2,61.87812687,0.031399958,-0.007344044,103.0145878,105.6062615
12,"Index(['const', 'L/S'], dtype='object')",2,63.8840186,1.03016E-06,-0.039998929,103.8759546,106.4676284
13,"Index(['MgO', 'Al2O3'], dtype='object')",2,15.45482859,0.926923579,0.921077466,65.5589655,68.15063923
14,"Index(['MgO', 'SiO2'], dtype='object')",2,17.8564137,0.915567954,0.90881339,69.45887979,72.05055352
15,"Index(['MgO', 'P2O5'], dtype='object')",2,16.71496335,0.920965174,0.914642388,67.67530225,70.26697598
16,"Index(['MgO', 'Concentration(mM)'], dtype='object')",2,18.0128952,0.914828049,0.908014293,69.69445875,72.28613248
17,"Index(['MgO', 'L/S'], dtype='object')",2,17.73472171,0.916143361,0.90943483,69.27424412,71.86591785
18,"Index(['Al2O3', 'SiO2'], dtype='object')",2,80.66336571,0.618592338,0.588079725,110.1727673,112.7644411
19,"Index(['Al2O3', 'P2O5'], dtype='object')",2,86.17190352,0.592545836,0.559949503,111.9563783,114.548052
20,"Index(['Al2O3', 'Concentration(mM)'], dtype='object')",2,82.68603626,0.609028368,0.577750637,110.8414554,113.4331291
21,"Index(['Al2O3', 'L/S'], dtype='object')",2,65.6888843,0.689397491,0.66454929,104.6281879,107.2198616
22,"Index(['SiO2', 'P2O5'], dtype='object')",2,105.8214398,0.499635212,0.459606029,117.5024203,120.094094
23,"Index(['SiO2', 'Concentration(mM)'], dtype='object')",2,91.00655068,0.56968575,0.53526061,113.4302356,116.0219094
24,"Index(['SiO2', 'L/S'], dtype='object')",2,65.14970046,0.691946961,0.667302718,104.4056535,106.9973272
25,"Index(['P2O5', 'Concentration(mM)'], dtype='object')",2,94.48115066,0.553256495,0.517517014,114.4418949,117.0335686
26,"Index(['P2O5', 'L/S'], dtype='object')",2,59.62504479,0.718069675,0.695515249,102.0131293,104.6048031
27,"Index(['Concentration(mM)', 'L/S'], dtype='object')",2,65.64295886,0.689614644,0.664783816,104.6093047,107.2009784
28,"Index(['const', 'MgO', 'Al2O3'], dtype='object')",3,11.44966681,0.820774346,0.805838875,59.46002241,63.34753301
29,"Index(['const', 'MgO', 'SiO2'], dtype='object')",3,17.6998554,0.72293795,0.699849446,71.2211101,75.1086207
30,"Index(['const', 'MgO', 'P2O5'], dtype='object')",3,14.94443501,0.766069512,0.746575305,66.65223815,70.53974875
31,"Index(['const', 'MgO', 'Concentration(mM)'], dtype='object')",3,17.9572799,0.718908394,0.695484093,71.61096656,75.49847716
32,"Index(['const', 'MgO', 'L/S'], dtype='object')",3,16.22381157,0.746042982,0.724879897,68.87004576,72.75755636
33,"Index(['const', 'Al2O3', 'SiO2'], dtype='object')",3,58.86131786,0.078623128,0.001841722,103.665057,107.5525676
34,"Index(['const', 'Al2O3', 'P2O5'], dtype='object')",3,46.510901,0.271948539,0.211277584,97.30662672,101.1941373
35,"Index(['const', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,60.4328562,0.054023287,-0.024808106,104.3764746,108.2639852
36,"Index(['const', 'Al2O3', 'L/S'], dtype='object')",3,63.28309718,0.009407464,-0.073141914,105.6207786,109.5082892
37,"Index(['const', 'SiO2', 'P2O5'], dtype='object')",3,27.29919442,0.572676126,0.537065804,82.92022963,86.80774022
38,"Index(['const', 'SiO2', 'Concentration(mM)'], dtype='object')",3,56.239391,0.11966507,0.046303825,102.4347557,106.3222663
39,"Index(['const', 'SiO2', 'L/S'], dtype='object')",3,58.80214338,0.079549407,0.002845191,103.6378997,107.5254103
40,"Index(['const', 'P2O5', 'Concentration(mM)'], dtype='object')",3,45.59939119,0.286216722,0.226734782,96.77223327,100.6597439
41,"Index(['const', 'P2O5', 'L/S'], dtype='object')",3,46.73027433,0.268514611,0.207557495,97.43367555,101.3211861
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,61.42176596,0.038543535,-0.041577837,104.8147206,108.7022312
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,13.92012875,0.934180235,0.925952765,64.73515483,68.62266543
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,11.73701887,0.944502825,0.937565678,60.12927744,64.01678803
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,13.08364328,0.938135463,0.930402396,63.06188225,66.94939284
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,10.11219241,0.952185634,0.946208839,56.10611577,59.99362637
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,16.71161725,0.920980996,0.91110362,69.66989668,73.55740728
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,17.70517439,0.916283072,0.905818456,71.22922266,75.11673326
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,17.73442129,0.916144781,0.905662879,71.27378675,75.16129734
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,15.65641392,0.925970406,0.916716707,67.90886345,71.79637405
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,16.54760977,0.921756486,0.911976047,69.40361042,73.29112101
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,16.50759925,0.921945672,0.912188881,69.33824797,73.22575857
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,80.57825202,0.618994789,0.571369137,112.1442627,116.0317733
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,79.77921426,0.622772949,0.575619568,111.8751863,115.7626969
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,63.57017446,0.699415573,0.661842519,105.7429844,109.630495
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,82.66985005,0.609104903,0.560243015,112.8361695,116.7236801
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,58.46581099,0.723550982,0.688994854,103.4830236,107.3705342
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,60.94015563,0.711851321,0.675832736,104.6021783,108.4896889
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,90.691394,0.571175933,0.517572925,115.3365721,119.2240827
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,52.98336275,0.749474122,0.718158388,100.8244902,104.7120008
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,61.90069554,0.707309516,0.670723206,105.0244336,108.9119442
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,58.15478023,0.725021656,0.690649363,103.3390036,107.2265142
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,11.19484175,0.824763212,0.80190624,60.8523195,66.03566697
64,"Index(['const', 'MgO', 'Al2O3', 'P2O5'], dtype='object')",4,11.18922452,0.824851141,0.802005637,60.83876831,66.02211577
65,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",4,11.32438508,0.822735425,0.799613959,61.16296146,66.34630892
66,"Index(['const', 'MgO', 'Al2O3', 'L/S'], dtype='object')",4,10.1100491,0.841743852,0.821101746,58.10039243,63.28373989
67,"Index(['const', 'MgO', 'SiO2', 'P2O5'], dtype='object')",4,11.17711703,0.825040663,0.80221988,60.80953669,65.99288415
68,"Index(['const', 'MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",4,17.67811665,0.723278234,0.687184091,73.18792864,78.37127611
69,"Index(['const', 'MgO', 'SiO2', 'L/S'], dtype='object')",4,16.10796096,0.747856432,0.714968141,70.67655313,75.85990059
70,"Index(['const', 'MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",4,14.92365337,0.766394815,0.735924573,68.61466599,73.79801345
71,"Index(['const', 'MgO', 'P2O5', 'L/S'], dtype='object')",4,12.64841241,0.80200996,0.776185172,64.14844148,69.33178894
72,"Index(['const', 'MgO', 'Concentration(mM)', 'L/S'], dtype='object')",4,15.14892953,0.762868488,0.731938291,69.01919193,74.2025394
73,"Index(['const', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,11.22125478,0.82434976,0.801438859,60.91594807,66.09929553
74,"Index(['const', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,55.97239088,0.123844516,0.009563366,104.3062662,109.4896137
75,"Index(['const', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,58.79203903,0.079707574,-0.040330569,105.6332597,110.8166072
76,"Index(['const', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,45.40806601,0.289211602,0.196500072,98.65870879,103.8420563
77,"Index(['const', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,45.83243509,0.282568804,0.188990822,98.90987022,104.0932177
78,"Index(['const', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,59.35965798,0.070822435,-0.050374638,105.892686,111.0760335
79,"Index(['const', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,24.72953888,0.612899847,0.562408522,82.25104316,87.43439063
80,"Index(['const', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,27.09485026,0.575874797,0.520554119,84.71736484,89.9007123
81,"Index(['const', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,55.07618901,0.137873079,0.025421741,103.8704574,109.0538049
82,"Index(['const', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,45.58535613,0.286436418,0.193362907,98.76392165,103.9472691
83,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,11.18485039,0.947113692,0.937916073,60.82821132,66.01155878
84,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,12.71702794,0.939868962,0.92941139,64.29451612,69.47786358
85,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,9.699625342,0.954136411,0.946160135,56.98144144,62.1647889
86,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,11.4086322,0.946055564,0.936673923,61.36308296,66.54643043
87,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,9.852805474,0.953412116,0.945309876,57.40450374,62.5878512
88,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,10.02293267,0.952607689,0.944365548,57.86673024,63.05007771
89,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,15.3915764,0.92722266,0.914565732,69.44823548,74.63158295
90,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,16.38982494,0.922502554,0.909024738,71.14492463,76.3282721
91,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,16.41164651,0.922399373,0.908903612,71.18084878,76.36419625
