,x_values,ssr,r^2,r^2adj,AIC,BIC
42,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",0.004070530314671188,0.98824130724806,0.9861963172042444,-152.97242830747425,-147.78908084345693
43,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",0.0042910705688784185,0.9876042243895169,0.9854484373268242,-151.5478283266907,-146.3644808626734
44,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",0.00332112644887468,0.9904061381481658,0.9887376404348034,-158.46609865686736,-153.28275119285004
45,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",0.004048873770882826,0.9883038673138969,0.9862697572815311,-153.11646056963633,-147.93311310561901
46,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",0.0041597645922450775,0.9879835328619682,0.9858937124901366,-152.3869280463095,-147.20358058229218
47,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.025885215776573687,0.9252244116602322,0.9122199615141856,-103.0251634917862,-97.84181602776889
48,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.027867377876404947,0.9194984660672343,0.9054981992963185,-101.03297479119169,-95.84962732717437
49,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.027973406438751642,0.9191921774042876,0.9051386430398158,-100.93044132362414,-95.74709385960682
50,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.023836290568518045,0.931143218334241,0.9191681258706307,-105.25165782700338,-100.06831036298607
51,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.025926318271255938,0.9251056773507087,0.9120805777595276,-102.98232486098237,-97.79897739696506
52,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.013947143562889732,0.9597103661574217,0.9527034733152341,-119.72188955241958,-114.53854208840227
53,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.01818491339962852,0.9474685623600029,0.9383326601617425,-112.55831458308703,-107.37496711906971
54,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.014934440756928886,0.956858323926532,0.9493554237398419,-117.87521696408228,-112.69186950006497
55,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.029141248849085165,0.9158185874727,0.9011783418157782,-99.82613139027538,-94.64278392625806
56,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",0.0030999995218110865,0.9910449157504723,0.989009669330125,-158.32645427619406,-151.84726994617242
57,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",0.003914661818117163,0.9886915703879954,0.9861214727489034,-152.0266256162133,-145.54744128619166
58,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",0.0034059097532676643,0.9901612214543242,0.9879251354212161,-155.78548081331874,-149.3062964832971
59,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.0033001631828963015,0.9904666955165333,0.9883000354066546,-156.63706537304824,-150.1578810430266
60,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.023356671004625768,0.932528713258404,0.9171943299080413,-103.80047585667197,-97.32129152665033
61,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.01391381717867032,0.9598066373266,0.9506717821735545,-117.78648264462674,-111.3072983146051
62,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",0.0030178714885424718,0.9912821620635744,0.9887913512245957,-157.0514091216168,-149.27638792559083
