,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005522366723550144,0.4341899499973998,0.38703911249718315,-146.73653100958705,-142.84902041157406
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,0.012874307110625116,0.9061431377053791,0.8944110299185515,-123.88299915340104,-119.99548855538805
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,0.013826019031660534,0.8992049239476033,0.8866055394410537,-121.9573962626499,-118.0698856646369
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.016523254908384306,0.8795414116449609,0.8644840881005811,-117.14555014156014,-113.25803954354714
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,0.006807155406580117,0.9503741644405707,0.944170934995642,-141.08900035705406,-137.20148975904107
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,0.010633960448482145,0.9224758153674981,0.9127852922884354,-129.044884336874,-125.157373738861
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.012843238400061378,0.9063696362395524,0.8946658407694964,-123.94823520735966,-120.06072460934666
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,0.006801550057685561,0.9504150288113511,0.94421690741277,-141.11124265322385,-137.22373205521086
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.014527997007829144,0.8940873320122099,0.8808482485137361,-120.62021149228173,-116.73270089426873
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,0.0067876490867636976,0.9505163703051002,0.9443309165932376,-141.1664815737542,-137.2789709757412
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.00558609004062293,0.9592760309970078,0.9541855348716337,-146.4267582895061,-142.5392476914931
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,0.014558596684671668,0.8938642528491147,0.8805972844552541,-120.56340239402311,-116.67589179601012
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.018697240382270976,0.8636925233514161,0.8466540887703431,-113.80815674617324,-109.92064614816024
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,0.006938094383423464,0.9494195871252259,0.9430970355158791,-140.57457400968838,-136.68706341167538
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.02224754571346225,0.8378099251105777,0.8175361657493999,-109.11405128866994,-105.22654069065695
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,0.006935113250537688,0.9494413203164833,0.9431214853560437,-140.58617775574027,-136.69866715772727
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005553501752612075,0.959513607624159,0.954452808577179,-146.58473289086018,-142.6972222928472
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.016504813842301035,0.879675851548023,0.8646353329915258,-117.17570078946801,-113.28819019145502
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,0.006967779930695331,0.9492031721913196,0.9428535687152345,-140.4592974041658,-136.5717868061528
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005578274520736552,0.959333008057399,0.9542496340645739,-146.46456054331875,-142.57704994530576
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.005529545014261891,0.9596882581333508,0.9546492904000197,-146.70145764290282,-142.81394704488983
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,0.009070997337454399,0.07060473995847927,-0.050620728742588605,-131.33708723261407,-126.15373976859675
64,"Index(['const', 'MgO', 'Al2O3', 'P2O5'], dtype='object')",4,0.009074738713128763,0.07022140649596886,-0.05105406222194819,-131.32595325112578,-126.14260578710847
65,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",4,0.009124210278895335,0.06515265418353722,-0.056783956140349146,-131.1791606460741,-125.99581318205679
66,"Index(['const', 'MgO', 'Al2O3', 'L/S'], dtype='object')",4,0.006722051663508591,0.31127276071141163,0.22143877297811754,-139.4286849163644,-134.2453374523471
67,"Index(['const', 'MgO', 'SiO2', 'P2O5'], dtype='object')",4,0.009067376208467544,0.07097575319894023,-0.05020132247076314,-131.3478677453978,-126.16452028138048
68,"Index(['const', 'MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.009113165672634913,0.0662842612522635,-0.055504748149615146,-131.21186320221815,-126.02851573820084
69,"Index(['const', 'MgO', 'SiO2', 'L/S'], dtype='object')",4,0.0067783654198498725,0.3055029719801752,0.21491640310802418,-139.20343554364416,-134.02008807962685
70,"Index(['const', 'MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.009242378438511254,0.05304539371931072,-0.07047042449121399,-130.8317271206053,-125.64837965658799
71,"Index(['const', 'MgO', 'P2O5', 'L/S'], dtype='object')",4,0.006775858090760256,0.3057598676317296,0.21520680688804217,-139.21342473795528,-134.03007727393796
72,"Index(['const', 'MgO', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.00551754301349273,0.4346841771585813,0.36094733070100504,-144.7601254379729,-139.5767779739556
73,"Index(['const', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,0.009081732092106058,0.06950487963223206,-0.051864049111389754,-131.30515391806702,-126.1218064540497
74,"Index(['const', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.009416959362123273,0.0351582004083032,-0.09069072997322247,-130.326476340677,-125.14312887665969
75,"Index(['const', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,0.006801937178824872,0.3030878592591353,0.21218627568423998,-139.10970594861533,-133.926358484598
76,"Index(['const', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.00919023680972288,0.05838771505884699,-0.06443127862912945,-130.9844811073242,-125.80113364330688
77,"Index(['const', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,0.006787687163947812,0.3045478857357804,0.2138367403969692,-139.1663301102542,-133.98298264623688
78,"Index(['const', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005515238175199404,0.434920326030121,0.3612142815992673,-144.7714064801255,-139.5880590161082
79,"Index(['const', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.009562776426782101,0.020218091434010987,-0.10757954881372656,-129.91159825659201,-124.7282507925747
80,"Index(['const', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.00693149991036811,0.28981313498189165,0.19718006563170365,-138.60024899082194,-133.41690152680462
81,"Index(['const', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005495643388110228,0.4369279665976039,0.3634837883277262,-144.86750410988617,-139.68415664586885
82,"Index(['const', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005500939759397435,0.4363853115634738,0.3628703522021879,-144.84149566091725,-139.65814819689993
83,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,0.0090571061112329,0.9339714709486622,0.9224882485049513,-131.37846642955574,-126.19511896553843
84,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.01207993512426506,0.9119343046780055,0.8966185315785282,-123.60256992800376,-118.41922246398644
85,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,0.006786471537043839,0.9505249549319039,0.9419205992678872,-139.17116605290346,-133.98781858888614
86,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.013277596682595975,0.9032030576299174,0.8863688067829465,-121.05019693726626,-115.86684947324895
87,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,0.00677423215844504,0.9506141830093335,0.9420253452718264,-139.21990442508857,-134.03655696107126
88,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005552804940676616,0.9595186875543883,0.9524784593029776,-144.5881208618215,-139.40477339780418
89,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.01018142876179186,0.9257748825589736,0.9128661664822733,-128.2190426403817,-123.03569517636438
90,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.006715744393589581,0.951040573186668,0.9425258902626102,-139.45403078403427,-134.27068332001696
91,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.00557334700463955,0.959368930860529,0.952302657966708,-144.48842127836517,-139.30507381434785
92,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005529102087082568,0.9596914871813236,0.952681311038945,-144.70362048140169,-139.52027301738437
93,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.014493761592631438,0.8943369166012833,0.8759607281841152,-118.68391243141718,-113.50056496739987
94,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.006931491629502356,0.9494677228237309,0.9406795007061189,-138.6002812469731,-133.4169337829558
95,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.0055483258357572115,0.9595513413298506,0.9525167919959117,-144.60990888356847,-139.42656141955115
96,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005471528488982038,0.9601112128583869,0.9531740324859324,-144.98624088780574,-139.80289342378842
97,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.005528361624834103,0.9596968853330603,0.9526876479996795,-144.70723658745626,-139.52388912343895
98,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",5,0.009046230857769339,0.07314226124427747,-0.0953773276203993,-129.41090596038268,-122.93172163036104
99,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",5,0.009062276426467918,0.07149826610919408,-0.09732023096186171,-129.36305767985428,-122.88387334983264
