,x_values,# of Var,ssr,r^2,r^2adj,AIC,BIC
42,"Index(['const', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.046914386548539126,0.0826602118176818,0.0062152294691553145,-88.969548919631,-85.082038321618
43,"Index(['MgO', 'Al2O3', 'SiO2'], dtype='object')",3,0.013330461455043942,0.9870877600543012,0.9854737300610888,-122.94290983447948,-119.05539923646649
44,"Index(['MgO', 'Al2O3', 'P2O5'], dtype='object')",3,0.016810404555630574,0.9837169944987584,0.9816816188111032,-116.68036075713596,-112.79285015912296
45,"Index(['MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",3,0.017156153310693003,0.9833820930475708,0.9813048546785172,-116.13067074362456,-112.24316014561157
46,"Index(['MgO', 'Al2O3', 'L/S'], dtype='object')",3,0.008179524427790448,0.9920770948245478,0.9910867316776162,-136.13018883774134,-132.24267823972835
47,"Index(['MgO', 'SiO2', 'P2O5'], dtype='object')",3,0.07762841707455259,0.9248070480341747,0.9154079290384465,-75.37210101322279,-71.4845904152098
48,"Index(['MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.05077821857463715,0.9508148653021484,0.944666723464917,-86.83268477220832,-82.94517417419533
49,"Index(['MgO', 'SiO2', 'L/S'], dtype='object')",3,0.038888906909402665,0.9623311691846833,0.9576225653327687,-94.0351630272244,-90.1476524292114
50,"Index(['MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.05632940357045665,0.9454378396912411,0.9386175696526462,-84.03145717421341,-80.14394657620042
51,"Index(['MgO', 'P2O5', 'L/S'], dtype='object')",3,0.03799727306212452,0.9631948294727077,0.9585941831567962,-94.6614184396164,-90.7739078416034
52,"Index(['MgO', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.03808519522109125,0.9631096657282303,0.9584983739442591,-94.59901511852522,-90.71150452051222
53,"Index(['Al2O3', 'SiO2', 'P2O5'], dtype='object')",3,0.08467471299521578,0.917981818167764,0.9077295454387345,-73.02624787287402,-69.13873727486103
54,"Index(['Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",3,0.08816378030260304,0.9146022146625432,0.9039274914953611,-71.93600905992744,-68.04849846191445
55,"Index(['Al2O3', 'SiO2', 'L/S'], dtype='object')",3,0.034592868414038885,0.9664924264716249,0.962303979780578,-97.19582338990077,-93.30831279188777
56,"Index(['Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.10440090784431336,0.8988745005429282,0.8862338131107942,-67.37187109817012,-63.48436050015713
57,"Index(['Al2O3', 'P2O5', 'L/S'], dtype='object')",3,0.03314308682052741,0.9678967235297131,0.9638838139709273,-98.35178500363159,-94.4642744056186
58,"Index(['Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.03038560566250521,0.9705676932090601,0.9668886548601926,-100.69714416659886,-96.80963356858587
59,"Index(['SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",3,0.1409420749433038,0.863479753026554,0.8464147221548732,-59.268884392521386,-55.3813737945084
60,"Index(['SiO2', 'P2O5', 'L/S'], dtype='object')",3,0.04723344223782748,0.9542484300567581,0.9485294838138528,-88.78654870178556,-84.89903810377257
61,"Index(['SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.05466805894583066,0.9470470623350342,0.9404279451269135,-84.83975772304953,-80.95224712503654
62,"Index(['P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",3,0.05304812168919308,0.948616176699546,0.9421931987869893,-85.65192175534165,-81.76441115732865
63,"Index(['const', 'MgO', 'Al2O3', 'SiO2'], dtype='object')",4,0.00984070135667586,0.8075799863916245,0.7824817237470538,-129.1380785371369,-123.95473107311958
64,"Index(['const', 'MgO', 'Al2O3', 'P2O5'], dtype='object')",4,0.009854618135670462,0.8073078648520648,0.7821741080936385,-129.09992194916822,-123.9165744851509
65,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)'], dtype='object')",4,0.010084132337325217,0.802820062183837,0.7771009398599896,-128.47830253774472,-123.29495507372741
66,"Index(['const', 'MgO', 'Al2O3', 'L/S'], dtype='object')",4,0.007947391234534315,0.8446007988584316,0.8243313378399663,-134.9075264597798,-129.7241789957625
67,"Index(['const', 'MgO', 'SiO2', 'P2O5'], dtype='object')",4,0.00999461317355779,0.8045704738756472,0.7790796661202968,-128.71905796096075,-123.53571049694344
68,"Index(['const', 'MgO', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.029404916546447238,0.4250313837456198,0.35003547727765716,-99.58293609605505,-94.39958863203773
69,"Index(['const', 'MgO', 'SiO2', 'L/S'], dtype='object')",4,0.028921154699802356,0.43449061411353174,0.36072852030225333,-100.03082737702354,-94.84747991300623
70,"Index(['const', 'MgO', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.022416880440012284,0.5616718480742968,0.5044986108665964,-106.90932193618582,-101.7259744721685
71,"Index(['const', 'MgO', 'P2O5', 'L/S'], dtype='object')",4,0.02324713761741999,0.5454374261987804,0.4861466557029692,-105.92739281850558,-100.74404535448826
72,"Index(['const', 'MgO', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.030386777315753462,0.4058325831984143,0.32833248535472925,-98.6961030806267,-93.51275561660938
73,"Index(['const', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,0.010033562485749908,0.8038088790552781,0.778218732845097,-128.61404262927792,-123.4306951652606
74,"Index(['const', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.036633895173404624,0.283679653278751,0.19024656457597944,-93.6480115656901,-88.46466410167278
75,"Index(['const', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,0.030737321959379508,0.398978213509499,0.3205840674455207,-98.38641151031644,-93.20306404629912
76,"Index(['const', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.028414548777450754,0.4443965257899234,0.371926507414696,-100.50797215949149,-95.32462469547417
77,"Index(['const', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,0.025427933644417058,0.5027952621921272,0.4379424703041439,-103.506402494464,-98.32305503044668
78,"Index(['const', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.02889116690759418,0.4350769799807235,0.36139136867386135,-100.05883768485154,-94.87549022083422
79,"Index(['const', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.010530093709313914,0.7940999628579225,0.7672434362741734,-127.30990203642045,-122.12655457240314
80,"Index(['const', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.008234646583191757,0.838983955495916,0.8179818627345137,-133.94884507208184,-128.76549760806452
81,"Index(['const', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.03953063173199654,0.22703835629985158,0.12621727233896274,-91.5932589486035,-86.40991148458619
82,"Index(['const', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.03093656638674762,0.39508229044101195,0.31617998049853535,-98.21195783474363,-93.02861037072631
83,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",4,0.00981869216626944,0.9904893533032307,0.9888353277907491,-129.1985329340179,-124.01518547000057
84,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",4,0.011692184152040036,0.9886746390761054,0.9867050110893412,-124.48345099218793,-119.30010352817061
85,"Index(['MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",4,0.007874269824405382,0.9923727725620911,0.9910462982250635,-135.15709470961642,-129.9737472455991
86,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.01492706051744269,0.9855412516862079,0.9830266867620701,-117.88856300910214,-112.70521554508483
87,"Index(['MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",4,0.008178802673150725,0.9920777939353115,0.9907000189675396,-134.1325714010884,-128.94922393707108
88,"Index(['MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.007870591346396857,0.9923763356338453,0.9910504809614705,-135.16971075074372,-129.9863632867264
89,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.05027220868948557,0.9513049999515758,0.9428363042909803,-85.1030919632453,-79.91974449922799
90,"Index(['MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.03658325012896671,0.9645644897401507,0.9584017923036552,-93.68536392113262,-88.5020164571153
91,"Index(['MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.037910128018169204,0.9632792404828909,0.9568930214364372,-92.72341284825183,-87.54006538423451
92,"Index(['MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.036645927778442236,0.9645037784998092,0.9583305225867325,-93.63914472278987,-88.45579725877255
93,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",4,0.08185397874478274,0.9207140564768033,0.9069251967336386,-71.94101047504697,-66.75766301102965
94,"Index(['Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",4,0.03102176488719064,0.9699514924435796,0.964725665042463,-98.13770273733965,-92.95435527332234
95,"Index(['Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.02910144574940711,0.971811564697117,0.9669092281227026,-99.86303503513662,-94.6796875711193
96,"Index(['Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.029123946735057794,0.9717897696432312,0.9668836426246626,-99.8421669356052,-94.65881947158789
97,"Index(['SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",4,0.04693728830733157,0.9545352926401969,0.946628387012405,-86.95637179731284,-81.77302433329552
98,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'P2O5'], dtype='object')",5,0.009782283675184984,0.808722255693377,0.7739444840012637,-127.29883716354178,-120.81965283352014
99,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'Concentration(mM)'], dtype='object')",5,0.009678933210658224,0.8107431175272929,0.7763327752595279,-127.58561149955,-121.10642716952836
100,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'L/S'], dtype='object')",5,0.007799990103270907,0.8474830047760367,0.8197526420080433,-133.41300056973265,-126.933816239711
101,"Index(['const', 'MgO', 'Al2O3', 'P2O5', 'Concentration(mM)'], dtype='object')",5,0.009693763670454016,0.81045313034322,0.7759900631328963,-127.54427265084297,-121.06508832082133
102,"Index(['const', 'MgO', 'Al2O3', 'P2O5', 'L/S'], dtype='object')",5,0.007814312647712195,0.8472029491076031,0.8194216671271672,-133.36346793103093,-126.88428360100929
103,"Index(['const', 'MgO', 'Al2O3', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.007678072358882302,0.8498669216518845,0.8225699983158634,-133.8383570621995,-127.35917273217785
104,"Index(['const', 'MgO', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",5,0.009830785148300054,0.8077738828306544,0.7728236797089552,-127.16529942344431,-120.68611509342267
105,"Index(['const', 'MgO', 'SiO2', 'P2O5', 'L/S'], dtype='object')",5,0.008026564761969245,0.843052680419077,0.8145168041316364,-132.63987795163513,-126.16069362161349
106,"Index(['const', 'MgO', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.028617749884695676,0.4404232358379039,0.33868200599025,-98.31557405385522,-91.83638972383358
107,"Index(['const', 'MgO', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.022332557701453867,0.5633206515399054,0.48392440636534273,-105.01107591256115,-98.53189158253952
108,"Index(['const', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",5,0.00987732362988359,0.8068638932948433,0.7717482375302693,-127.03778426179628,-120.55859993177464
109,"Index(['const', 'Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",5,0.008058092444720657,0.8424362043241133,0.813788241473952,-132.53403192538488,-126.05484759536324
110,"Index(['const', 'Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.026203378834509038,0.4876326057287418,0.3944748976794221,-100.69532125034934,-94.2161369203277
111,"Index(['const', 'Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.023847649004538847,0.5336953353565453,0.4489126690577354,-103.23879488903694,-96.7596105590153
112,"Index(['const', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.007879019187526485,0.8459377107043291,0.8179263853778435,-133.1408145781394,-126.66163024811777
113,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",5,0.00965911264640815,0.9906439262756531,0.9885175458837561,-127.64095891428943,-121.16177458426779
114,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",5,0.007791178452688698,0.9924532570773977,0.9907380882313518,-133.44351971782564,-126.964335387804
115,"Index(['MgO', 'Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.007668983314233722,0.9925716185424716,0.9908833500293969,-133.87033768954976,-127.39115335952812
116,"Index(['MgO', 'Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.007864195750716783,0.9923825305781311,0.9906512875277064,-133.1916597090367,-126.71247537901507
117,"Index(['MgO', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.03580819604373717,0.9653152277662219,0.9574323249858178,-92.26353333330749,-85.78434900328585
118,"Index(['Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",5,0.02676776252099381,0.9740720324164189,0.9681793125110596,-100.1199537652964,-93.64076943527476
119,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)'], dtype='object')",6,0.009619189363897194,0.8119113179827386,0.7671282984548192,-125.75278724524472,-117.97776604921874
120,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'P2O5', 'L/S'], dtype='object')",6,0.0076307737483179774,0.8507917743588788,0.815266006349088,-132.00519740272426,-124.23017620669829
121,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'Concentration(mM)', 'L/S'], dtype='object')",6,0.00759288475032018,0.8515326363407738,0.8161832640409581,-132.139594145568,-124.36457294954202
122,"Index(['const', 'MgO', 'Al2O3', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",6,0.007604618967808443,0.8513031914864959,0.8158991894594712,-132.09789993827994,-124.32287874225396
123,"Index(['const', 'MgO', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",6,0.007838926300136714,0.8467216664060134,0.8102268250741118,-131.27855653788075,-123.50353534185477
124,"Index(['const', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",6,0.007854160639422333,0.8464237819700972,0.8098580157725013,-131.22613507465857,-123.4511138786326
125,"Index(['MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",6,0.0075832603006499855,0.9926546521361693,0.990555981317932,-132.17384001961042,-124.39881882358445
126,"Index(['const', 'MgO', 'Al2O3', 'SiO2', 'P2O5', 'Concentration(mM)', 'L/S'], dtype='object')",7,0.007395953651488329,0.8553833257727248,0.8119983235045423,-130.8491148578351,-121.7782567958048
